course_id,student_id,course_rating,date_rated
14,258956,5,2022-07-06
7,259019,5,2022-08-30
23,259019,4,2022-08-30
14,259283,5,2022-07-08
30,259283,5,2022-07-02
37,259283,5,2022-10-12
23,259504,5,2022-06-29
46,259504,5,2022-06-28
30,259524,5,2022-06-16
54,259524,5,2022-07-25
7,259761,4,2022-08-15
42,259761,4,2022-08-18
46,259761,4,2022-08-15
3,259767,5,2022-06-19
5,259767,5,2022-07-27
7,259846,5,2022-10-08
26,259870,5,2022-07-29
21,259983,5,2022-07-18
2,260173,4,2022-06-27
45,260173,3,2022-07-07
7,260329,5,2022-10-07
5,260345,5,2022-08-16
11,260345,5,2022-09-30
14,260345,5,2022-07-12
27,260345,5,2022-10-15
44,260345,5,2022-10-12
28,260356,5,2022-07-19
5,260465,5,2022-07-20
11,260465,4,2022-08-22
32,260465,4,2022-08-31
37,260465,5,2022-07-04
44,260465,4,2022-10-16
54,260465,5,2022-09-26
50,260549,5,2022-07-24
39,260616,5,2022-06-23
3,260646,5,2022-09-24
5,260646,5,2022-09-28
20,260646,5,2022-09-23
35,260646,5,2022-09-22
34,260649,3,2022-09-20
2,260754,5,2022-10-04
11,260754,5,2022-09-07
13,260754,5,2022-09-24
23,260754,5,2022-09-23
30,260754,5,2022-06-30
34,260754,5,2022-06-28
39,260754,5,2022-09-29
44,260754,5,2022-09-09
50,260754,5,2022-09-15
55,260754,5,2022-09-13
11,260813,2,2022-09-20
23,260813,5,2022-07-24
35,260813,5,2022-09-15
14,260815,5,2022-06-30
21,260861,5,2022-06-26
23,260910,5,2022-09-25
42,260910,5,2022-08-09
21,260968,5,2022-07-12
12,260980,4,2022-07-03
25,260980,4,2022-10-17
28,260980,4,2022-10-14
2,261019,5,2022-07-30
5,261086,5,2022-06-26
14,261104,2,2022-10-08
21,261158,5,2022-09-05
16,261171,5,2022-06-20
25,261171,5,2022-10-20
26,261171,5,2022-07-05
28,261171,5,2022-09-17
14,261212,5,2022-06-27
13,261239,5,2022-10-18
20,261239,5,2022-07-22
7,261390,4,2022-07-04
23,261390,4,2022-09-19
5,261393,5,2022-06-27
7,261393,4,2022-07-12
14,261393,4,2022-07-13
21,261393,5,2022-07-11
35,261393,4,2022-06-26
14,261408,5,2022-10-13
11,261412,5,2022-07-18
27,261412,5,2022-10-03
49,261412,5,2022-09-12
54,261412,5,2022-09-08
55,261412,5,2022-09-16
32,261466,5,2022-08-08
37,261466,5,2022-06-18
14,261491,5,2022-08-11
16,261491,5,2022-07-14
25,261491,5,2022-08-16
37,261491,5,2022-08-22
16,261495,5,2022-08-07
13,261522,5,2022-06-30
23,261522,5,2022-06-29
14,261550,4,2022-07-02
21,261550,5,2022-08-16
42,261626,5,2022-09-19
7,261668,5,2022-07-12
14,261668,4,2022-06-20
28,261668,5,2022-09-28
46,261668,5,2022-07-16
7,261674,5,2022-10-17
20,261674,4,2022-09-25
35,261674,5,2022-09-25
20,261680,5,2022-10-20
21,261680,5,2022-06-19
24,261682,5,2022-10-20
23,261693,5,2022-06-21
7,261716,3,2022-06-27
14,261735,5,2022-09-14
11,261756,5,2022-07-21
30,261756,5,2022-09-16
35,261756,5,2022-06-27
39,261756,5,2022-06-21
7,261783,5,2022-10-19
14,261785,5,2022-07-26
7,261790,5,2022-08-07
16,261810,5,2022-07-30
28,261810,5,2022-07-01
37,261810,5,2022-08-21
42,261813,4,2022-06-16
5,261828,5,2022-08-11
12,261828,5,2022-08-31
16,261828,5,2022-07-31
5,261905,5,2022-06-22
11,261905,4,2022-06-30
21,261905,5,2022-07-05
30,261905,5,2022-10-10
20,262112,5,2022-06-21
35,262112,2,2022-06-21
16,262414,4,2022-06-22
34,262459,4,2022-10-19
7,262548,5,2022-08-15
22,262548,5,2022-08-16
3,262569,5,2022-09-11
7,262569,5,2022-08-30
14,262569,5,2022-08-01
20,262569,5,2022-08-31
35,262569,5,2022-08-31
7,262580,5,2022-07-13
22,262580,4,2022-10-01
22,262634,5,2022-09-12
28,262641,4,2022-07-26
35,262641,4,2022-08-04
2,262643,5,2022-09-01
3,262643,5,2022-08-04
4,262643,5,2022-08-24
11,262643,5,2022-07-01
14,262643,5,2022-09-16
16,262643,5,2022-08-26
21,262643,5,2022-08-19
27,262643,5,2022-09-27
33,262643,5,2022-09-09
35,262643,5,2022-08-31
43,262643,5,2022-08-02
53,262643,5,2022-09-05
7,262861,5,2022-08-30
7,262955,5,2022-07-04
23,262955,5,2022-07-04
7,262988,5,2022-07-09
14,262988,5,2022-07-10
22,263087,5,2022-07-12
46,263087,5,2022-06-20
42,263118,5,2022-06-20
5,263293,5,2022-10-18
16,263293,5,2022-08-26
24,263293,5,2022-08-23
28,263293,5,2022-07-17
23,263309,5,2022-08-01
32,263309,5,2022-07-28
14,263321,5,2022-07-19
2,263441,5,2022-08-15
7,263456,5,2022-06-18
23,263456,5,2022-06-21
14,263496,4,2022-07-18
35,263521,5,2022-09-29
30,263535,5,2022-08-30
7,263576,5,2022-08-16
24,263579,5,2022-07-04
21,263683,5,2022-08-10
25,263690,4,2022-08-04
27,263690,4,2022-07-18
41,263690,4,2022-10-13
50,263690,4,2022-08-08
54,263690,4,2022-08-10
55,263690,4,2022-08-16
42,263735,5,2022-06-18
50,263747,4,2022-08-16
54,263747,4,2022-08-16
55,263747,4,2022-08-17
23,263783,5,2022-09-22
2,263825,5,2022-09-15
7,263825,5,2022-08-26
13,263825,4,2022-09-11
16,263825,4,2022-10-05
21,263825,2,2022-09-29
23,263825,5,2022-08-29
35,263825,5,2022-10-01
39,263825,5,2022-09-13
23,263875,5,2022-06-17
13,263893,3,2022-08-15
23,264126,5,2022-08-29
23,264131,4,2022-09-07
3,264146,4,2022-10-09
4,264146,5,2022-09-29
11,264146,4,2022-10-15
44,264146,5,2022-10-18
7,264148,5,2022-09-04
7,264158,5,2022-08-15
22,264228,5,2022-09-09
37,264228,5,2022-09-09
21,264295,5,2022-06-20
13,264306,5,2022-08-17
16,264306,4,2022-08-16
21,264404,5,2022-09-20
14,264425,5,2022-09-21
16,264954,4,2022-06-27
3,265092,5,2022-06-18
5,265092,5,2022-07-03
11,265092,5,2022-07-15
35,265092,5,2022-06-17
46,265092,5,2022-09-09
23,265101,4,2022-06-22
3,265130,5,2022-08-02
13,265130,4,2022-07-31
21,265130,5,2022-08-01
35,265130,5,2022-08-02
39,265130,5,2022-07-31
57,265337,1,2022-10-17
24,265415,5,2022-08-10
39,265415,5,2022-07-10
4,265519,5,2022-10-15
16,265519,5,2022-07-04
21,265560,5,2022-07-31
22,265578,5,2022-09-16
16,265588,5,2022-07-09
7,265685,5,2022-10-06
21,265685,5,2022-10-10
22,265685,5,2022-10-02
42,265808,5,2022-06-21
23,265838,5,2022-07-05
50,265928,5,2022-09-26
52,265928,5,2022-10-04
54,265928,5,2022-09-27
55,265928,5,2022-08-02
25,265966,5,2022-10-18
16,266001,5,2022-09-28
21,266001,5,2022-07-18
22,266001,5,2022-07-14
24,266001,5,2022-09-20
35,266001,5,2022-06-16
54,266001,5,2022-10-13
11,266012,5,2022-06-27
14,266012,5,2022-07-04
21,266012,5,2022-07-17
22,266012,5,2022-07-21
24,266012,5,2022-07-26
37,266012,5,2022-07-27
42,266065,5,2022-10-04
7,266187,5,2022-07-23
7,266366,5,2022-07-29
42,266477,5,2022-07-05
4,266512,5,2022-06-20
5,266512,5,2022-09-26
14,266512,5,2022-07-26
21,266512,5,2022-09-15
24,266512,5,2022-07-11
11,266529,5,2022-07-07
14,266529,5,2022-07-11
21,266529,3,2022-07-12
51,266529,5,2022-07-09
13,266614,5,2022-06-23
23,266614,5,2022-06-21
39,266614,5,2022-06-27
7,266619,5,2022-08-11
20,266619,5,2022-08-18
23,266619,5,2022-08-12
30,266619,5,2022-08-18
35,266619,5,2022-08-18
42,266619,5,2022-08-12
46,266619,5,2022-08-18
29,266738,5,2022-08-17
42,266743,5,2022-10-02
16,266758,4,2022-07-29
54,266758,4,2022-07-07
11,266766,5,2022-07-07
2,266814,5,2022-07-31
21,266814,5,2022-07-14
37,266814,5,2022-07-16
45,266814,5,2022-07-15
54,266814,5,2022-07-19
7,266864,5,2022-08-15
21,266864,5,2022-08-16
24,266864,5,2022-08-17
35,267026,5,2022-06-22
7,267106,5,2022-10-09
14,267106,5,2022-07-12
20,267106,5,2022-10-12
22,267106,5,2022-10-07
42,267106,5,2022-10-13
46,267106,5,2022-10-19
11,267114,5,2022-08-15
30,267154,5,2022-08-16
7,267195,5,2022-09-17
21,267488,5,2022-09-29
42,267765,5,2022-06-23
7,267880,5,2022-06-22
30,267937,5,2022-09-20
16,267959,5,2022-08-04
3,268011,5,2022-08-01
5,268011,5,2022-06-24
11,268011,5,2022-07-09
13,268011,5,2022-06-27
22,268011,5,2022-06-19
24,268011,5,2022-06-22
26,268011,5,2022-07-14
30,268011,5,2022-07-07
39,268011,5,2022-07-10
23,268053,5,2022-06-27
11,268090,2,2022-10-01
20,268090,4,2022-08-02
35,268090,4,2022-10-17
16,268113,5,2022-06-22
11,268152,5,2022-10-05
14,268152,5,2022-09-18
20,268152,5,2022-08-16
21,268152,5,2022-06-28
42,268154,4,2022-06-16
16,268287,5,2022-09-10
20,268287,5,2022-08-09
21,268287,5,2022-08-20
22,268287,5,2022-08-15
23,268287,5,2022-09-22
24,268287,5,2022-07-25
7,268293,5,2022-07-12
21,268293,5,2022-09-20
23,268410,5,2022-08-16
7,268473,5,2022-08-04
13,268473,5,2022-08-08
22,268473,4,2022-08-27
16,268510,5,2022-07-02
35,268516,5,2022-06-29
7,268618,5,2022-07-09
13,268618,5,2022-07-13
32,268764,4,2022-07-22
37,268764,5,2022-06-25
54,268764,5,2022-07-20
55,268764,5,2022-07-02
20,268825,5,2022-08-15
35,268825,5,2022-09-19
42,268825,5,2022-08-15
46,268825,5,2022-09-27
14,268926,5,2022-09-30
28,268926,3,2022-06-28
35,268926,5,2022-10-20
5,268985,5,2022-07-11
14,268985,5,2022-09-24
4,268989,5,2022-09-29
22,268989,5,2022-09-21
14,268990,5,2022-10-17
34,268990,4,2022-10-05
37,268990,4,2022-06-27
7,269020,4,2022-06-22
28,269040,4,2022-10-06
37,269040,4,2022-08-18
50,269040,4,2022-08-22
52,269040,4,2022-09-22
54,269040,4,2022-09-20
55,269040,4,2022-09-23
14,269054,5,2022-06-27
55,269064,5,2022-06-20
21,269110,5,2022-10-13
3,269204,5,2022-08-31
5,269204,5,2022-08-19
11,269204,5,2022-08-23
13,269204,5,2022-07-26
14,269204,5,2022-09-19
16,269204,5,2022-08-07
25,269204,5,2022-08-15
28,269204,4,2022-06-17
34,269204,5,2022-10-08
44,269204,5,2022-08-26
52,269204,5,2022-09-16
54,269204,5,2022-09-12
55,269204,5,2022-09-10
14,269314,5,2022-08-26
26,269314,5,2022-09-21
39,269314,2,2022-07-07
7,269321,5,2022-07-28
22,269518,5,2022-06-21
24,269518,5,2022-06-17
28,269518,5,2022-07-04
7,269526,5,2022-09-30
21,269526,5,2022-10-03
42,269526,5,2022-10-05
7,269540,5,2022-06-23
13,269540,5,2022-08-07
14,269540,5,2022-10-07
21,269540,5,2022-08-22
23,269540,5,2022-08-02
39,269540,5,2022-08-09
13,269541,5,2022-06-23
23,269541,5,2022-06-17
14,269549,4,2022-07-20
30,269570,5,2022-10-12
5,269741,5,2022-06-21
7,269754,5,2022-06-30
42,269754,5,2022-07-05
7,269773,5,2022-07-13
7,269851,5,2022-08-11
35,269874,4,2022-07-04
36,269934,5,2022-06-23
46,269934,5,2022-06-22
46,269937,4,2022-07-25
7,269959,4,2022-06-19
4,269975,4,2022-09-03
20,269975,5,2022-07-08
35,269975,5,2022-07-11
16,270009,5,2022-08-13
12,270042,5,2022-07-14
49,270042,5,2022-08-03
52,270042,5,2022-08-04
2,270075,3,2022-07-02
14,270075,4,2022-06-17
26,270075,4,2022-07-04
21,270179,5,2022-07-27
21,270232,5,2022-08-17
29,270240,5,2022-09-26
7,270462,5,2022-07-26
7,270596,2,2022-08-02
21,270596,5,2022-09-06
42,270596,2,2022-08-02
13,270606,4,2022-06-17
39,270606,5,2022-08-21
39,270607,5,2022-10-07
14,270671,5,2022-09-29
16,270671,5,2022-08-26
20,270671,5,2022-09-26
22,270671,5,2022-09-27
24,270671,5,2022-08-24
32,270738,5,2022-07-28
54,270738,5,2022-07-29
42,270878,5,2022-07-28
16,270928,4,2022-08-02
14,270988,4,2022-06-19
7,271098,5,2022-08-12
26,271154,5,2022-10-02
35,271154,5,2022-06-19
21,271185,5,2022-06-19
37,271185,5,2022-06-27
50,271185,5,2022-06-29
35,271203,5,2022-07-03
14,271326,5,2022-07-03
16,271326,5,2022-06-28
37,271326,5,2022-08-28
37,271338,5,2022-08-23
50,271338,4,2022-09-27
23,271434,5,2022-06-25
16,271519,4,2022-08-06
20,271519,4,2022-07-23
22,271519,4,2022-08-29
35,271519,4,2022-07-22
46,271519,4,2022-08-19
5,271664,5,2022-07-11
11,271664,5,2022-07-26
16,271664,5,2022-06-25
20,271664,5,2022-07-01
21,271664,5,2022-08-23
22,271664,5,2022-06-27
25,271664,5,2022-08-02
30,271664,5,2022-08-14
37,271664,5,2022-08-17
7,271737,5,2022-10-05
7,271837,5,2022-06-18
23,271837,5,2022-06-23
2,271856,5,2022-06-27
14,271856,5,2022-06-21
23,271903,5,2022-07-13
7,271950,5,2022-09-01
21,271950,5,2022-07-09
14,271991,5,2022-08-11
16,271991,5,2022-07-04
20,271991,5,2022-08-24
22,271991,5,2022-07-06
32,271991,4,2022-09-13
37,271991,5,2022-08-30
50,271991,5,2022-09-26
52,271991,5,2022-09-24
2,272058,4,2022-07-02
24,272261,4,2022-07-11
30,272261,5,2022-10-05
42,272283,5,2022-08-07
46,272283,5,2022-08-26
14,272359,4,2022-09-28
21,272436,5,2022-06-20
11,272472,5,2022-07-24
51,272472,5,2022-07-23
4,272510,5,2022-08-30
16,272510,5,2022-10-02
21,272510,5,2022-10-01
23,272510,5,2022-10-16
30,272510,5,2022-09-03
21,272569,5,2022-08-06
7,272576,5,2022-10-05
2,272586,5,2022-07-09
11,272586,5,2022-08-25
54,272586,5,2022-07-29
4,272838,5,2022-08-22
16,272838,5,2022-08-01
32,272842,5,2022-06-30
34,272842,5,2022-07-23
37,272842,5,2022-06-21
41,272842,5,2022-07-09
48,272842,5,2022-08-11
49,272842,5,2022-06-27
50,272842,5,2022-06-22
52,272842,5,2022-06-24
53,272842,5,2022-08-07
54,272842,5,2022-06-23
16,272887,5,2022-09-15
20,272887,5,2022-06-30
35,272887,5,2022-09-01
5,272909,5,2022-06-28
27,272909,5,2022-10-09
37,272909,5,2022-07-19
7,272923,5,2022-09-21
3,272965,4,2022-06-22
14,272965,4,2022-06-28
16,272965,4,2022-09-14
28,272965,4,2022-06-29
30,272965,4,2022-09-24
29,273034,5,2022-06-16
43,273096,5,2022-08-15
12,273132,3,2022-08-16
42,273161,5,2022-07-06
14,273329,5,2022-07-01
35,273423,1,2022-06-21
4,273580,5,2022-07-05
11,273580,5,2022-07-04
14,273580,5,2022-08-02
16,273580,5,2022-09-08
23,273580,5,2022-06-28
28,273580,5,2022-07-14
37,273580,5,2022-07-05
23,273601,5,2022-08-11
39,273602,5,2022-08-17
14,273630,4,2022-09-18
21,273630,5,2022-09-21
7,273831,5,2022-07-06
23,273852,5,2022-07-19
7,273992,5,2022-06-19
2,274039,5,2022-06-16
3,274039,5,2022-07-15
13,274039,5,2022-07-15
14,274039,5,2022-08-28
16,274039,4,2022-07-10
35,274039,5,2022-06-16
2,274050,4,2022-08-11
14,274050,5,2022-06-30
21,274050,5,2022-06-23
37,274050,5,2022-08-19
13,274070,5,2022-06-17
21,274070,5,2022-06-19
23,274070,5,2022-06-17
7,274087,5,2022-06-26
25,274098,5,2022-08-17
7,274166,5,2022-08-01
42,274166,5,2022-08-26
50,274267,5,2022-08-15
42,274347,5,2022-07-14
30,274352,5,2022-08-18
14,274382,5,2022-06-27
21,274382,5,2022-08-01
24,274382,5,2022-08-25
36,274382,5,2022-06-21
28,274433,5,2022-08-28
14,274438,5,2022-09-28
23,274464,5,2022-06-27
5,274498,5,2022-07-24
16,274498,5,2022-07-06
21,274498,5,2022-07-12
22,274498,3,2022-09-21
7,274552,5,2022-06-17
16,274564,5,2022-10-06
34,274564,5,2022-08-18
35,274564,5,2022-09-26
43,274564,5,2022-06-24
46,274564,5,2022-08-09
13,274576,5,2022-06-26
21,274576,5,2022-08-08
23,274576,5,2022-06-23
39,274576,5,2022-06-30
29,274624,5,2022-08-24
7,274625,5,2022-08-15
23,274626,5,2022-08-15
24,274626,5,2022-08-18
28,274626,5,2022-08-17
53,274663,5,2022-10-04
2,274814,3,2022-07-08
35,274880,4,2022-06-30
36,274880,5,2022-07-03
7,274893,5,2022-09-21
42,274893,5,2022-09-27
21,274901,5,2022-09-06
2,274906,5,2022-07-14
3,274906,4,2022-07-09
13,274906,5,2022-06-22
14,274906,3,2022-07-23
21,274906,5,2022-06-27
23,274906,4,2022-06-18
28,274906,4,2022-07-16
39,274906,5,2022-06-24
42,274906,2,2022-06-16
7,274985,4,2022-06-21
14,274996,5,2022-08-05
46,274996,5,2022-06-18
7,275004,5,2022-08-24
2,275045,3,2022-08-24
3,275045,5,2022-08-07
5,275045,3,2022-08-18
11,275045,5,2022-08-19
12,275045,3,2022-08-25
14,275045,5,2022-07-21
21,275045,3,2022-08-22
23,275045,5,2022-07-10
35,275045,3,2022-08-02
16,275100,5,2022-10-16
21,275100,5,2022-08-24
22,275100,5,2022-10-17
42,275100,5,2022-08-17
