exam_id,exam_category,exam_duration
118,2,14
119,2,14
120,1,26
276,2,15
277,2,15
278,1,50
312,2,30
313,2,30
314,2,30
315,1,80
362,2,5
363,2,18
364,1,50
365,2,20
366,2,20
367,1,10
401,2,15
402,2,16
403,1,25
408,2,10
409,2,30
410,1,60
424,1,15
432,2,14
433,2,14
434,2,14
435,1,40
448,2,10
449,2,15
450,1,90
530,2,16
531,2,18
532,1,30
537,2,9
538,1,40
539,2,10
540,2,8
541,2,10
542,2,10
543,1,45
544,2,12
545,2,20
546,2,20
547,2,20
548,1,70
549,1,75
575,2,25
576,2,25
577,2,30
578,2,25
579,1,75
626,4,80
627,4,75
628,4,70
629,4,120
630,4,120
631,4,120
632,4,130
633,4,130
634,4,130
653,2,10
654,2,12
655,1,30
660,2,16
661,2,16
662,2,16
663,1,65
664,2,10
665,1,20
666,1,35
684,2,8
685,2,12
686,2,25
687,1,110
693,2,12
694,2,12
695,2,12
696,2,12
697,1,35
707,2,20
708,2,20
709,2,25
710,2,25
711,1,85
712,2,10
713,2,18
714,2,20
715,1,55
716,2,12
717,2,16
718,2,12
719,1,45
720,2,15
721,2,15
722,1,45
728,1,65
737,2,12
738,2,15
739,2,18
740,1,40
744,2,5
745,2,6
746,2,5
747,1,20
748,2,6
749,2,10
750,1,30
755,2,10
756,2,8
757,2,8
758,1,30
779,2,12
780,1,45
781,2,16
782,2,26
783,2,15
784,1,25
789,1,15
790,2,14
791,2,14
792,1,20
795,1,35
796,2,20
797,1,25
802,2,10
803,2,10
804,2,10
805,1,45
806,2,20
807,2,20
808,2,20
809,2,20
810,1,100
811,2,15
812,1,25
813,2,30
814,1,35
815,2,25
816,1,30
817,2,6
818,1,50
819,2,8
820,2,9
821,2,8
822,1,25
823,2,15
824,2,20
825,2,15
826,2,15
827,1,130
829,2,25
830,2,20
831,2,25
832,2,20
833,1,110
834,1,40
