quiz_id,question_id,answer_id,answer_correct
1,1,1,n
1,1,2,y
1,1,3,n
1,1,4,n
2,2,5,n
2,2,6,y
2,2,7,n
2,2,8,n
3,3,9,n
3,3,10,n
3,3,11,y
3,3,12,n
4,4,13,n
4,4,14,y
4,4,15,n
4,4,16,n
5,5,17,n
5,5,18,y
5,5,19,n
5,5,20,n
6,6,21,n
6,6,22,n
6,6,23,y
6,6,24,n
7,7,25,n
7,7,26,n
7,7,27,y
7,7,28,n
8,8,29,n
8,8,30,n
8,8,31,y
8,8,32,n
9,9,33,n
9,9,34,n
9,9,35,n
9,9,36,y
10,10,37,n
10,10,38,y
10,10,39,n
10,10,40,n
11,11,41,y
11,11,42,n
11,11,43,n
11,11,44,n
12,12,45,n
12,12,46,n
12,12,47,y
12,12,48,n
13,13,49,n
13,13,50,n
13,13,51,y
13,13,52,n
14,14,53,n
14,14,54,n
14,14,55,n
14,14,56,y
15,15,57,n
15,15,58,y
15,15,59,n
15,15,60,n
16,16,61,n
16,16,62,n
16,16,63,n
16,16,64,y
17,17,65,n
17,17,66,n
17,17,67,n
17,17,68,y
18,18,69,n
18,18,70,n
18,18,71,y
18,18,72,n
19,19,73,y
19,19,74,n
19,19,75,n
19,19,76,n
20,20,77,n
20,20,78,y
20,20,79,n
20,20,80,n
21,21,81,n
21,21,82,n
21,21,83,n
21,21,84,y
22,22,85,n
22,22,86,y
22,22,87,n
22,22,88,n
22,23,89,n
22,23,90,n
22,23,91,y
22,23,92,n
23,24,93,n
23,24,94,n
23,24,95,y
23,24,96,n
24,25,97,n
24,25,98,n
24,25,99,y
24,25,100,n
24,26,101,y
24,26,102,n
24,26,103,n
24,26,104,n
25,27,105,n
25,27,106,n
25,27,107,n
25,27,108,y
25,28,109,n
25,28,110,n
25,28,111,n
25,28,112,n
25,28,113,y
25,29,114,n
25,29,115,y
25,29,116,n
25,29,117,n
26,30,118,n
26,30,119,y
26,30,120,n
26,30,121,n
26,31,122,n
26,31,123,n
26,31,124,y
26,31,125,n
26,32,126,n
26,32,127,n
26,32,128,y
26,32,129,n
26,33,130,n
26,33,131,n
26,33,132,n
26,33,133,y
26,34,134,n
26,34,135,n
26,34,136,n
26,34,137,y
27,35,138,n
27,35,139,y
27,35,140,n
27,35,141,n
27,36,142,n
27,36,143,n
27,36,144,y
27,36,145,n
28,37,146,y
28,37,147,n
28,37,148,n
28,37,149,n
28,38,150,n
28,38,151,n
28,38,152,n
28,38,153,y
29,39,154,n
29,39,155,y
29,39,156,n
29,39,157,n
29,40,158,n
29,40,159,n
29,40,160,n
29,40,161,n
29,40,162,n
29,40,163,n
29,40,164,n
29,40,165,y
30,41,166,y
30,41,167,n
30,41,168,n
30,41,169,n
30,42,170,n
30,42,171,n
30,42,172,n
30,42,173,n
30,42,174,y
30,42,175,n
30,43,176,n
30,43,177,y
30,43,178,n
30,43,179,n
31,44,180,n
31,44,181,n
31,44,182,y
31,44,183,n
32,45,184,y
32,45,185,n
32,45,186,n
32,45,187,n
33,46,188,n
33,46,189,y
33,46,190,n
33,46,191,n
33,47,192,n
33,47,193,n
33,47,194,y
33,47,195,n
33,48,196,n
33,48,197,n
33,48,198,n
33,48,199,y
33,49,200,y
33,49,201,n
33,49,202,n
33,49,203,n
33,50,204,n
33,50,205,n
33,50,206,n
33,50,207,y
34,51,208,n
34,51,209,n
34,51,210,y
34,51,211,n
34,52,212,n
34,52,213,n
34,52,214,n
34,52,215,y
34,53,216,y
34,53,217,n
34,53,218,n
34,53,219,n
34,54,220,n
34,54,221,n
34,54,222,y
34,54,223,n
35,55,224,n
35,55,225,y
35,55,226,n
35,55,227,n
36,56,228,y
36,56,229,n
36,56,230,n
36,56,231,n
36,57,232,n
36,57,233,y
36,57,234,n
36,57,235,n
37,58,236,n
37,58,237,n
37,58,238,n
37,58,239,y
37,59,240,n
37,59,241,n
37,59,242,y
37,59,243,n
37,60,244,n
37,60,245,y
37,60,246,n
37,60,247,n
37,61,248,y
37,61,249,n
37,61,250,n
37,61,251,n
37,62,252,n
37,62,253,y
37,62,254,n
37,62,255,n
37,62,256,n
37,63,257,y
37,63,258,n
37,63,259,n
37,63,260,n
38,64,261,n
38,64,262,n
38,64,263,y
38,64,264,n
39,65,265,n
39,65,266,n
39,65,267,y
39,65,268,n
40,66,269,n
40,66,270,n
40,66,271,y
40,66,272,n
40,67,273,y
40,67,274,n
40,67,275,n
40,67,276,n
40,68,277,n
40,68,278,n
40,68,279,n
40,68,280,y
41,69,281,n
41,69,282,y
41,69,283,n
41,69,284,n
41,69,285,n
41,70,286,y
41,70,287,n
41,70,288,n
41,70,289,n
42,71,290,n
42,71,291,n
42,71,292,y
42,71,293,n
43,72,294,y
43,72,295,n
43,72,296,n
43,72,297,n
44,73,298,n
44,73,299,n
44,73,300,n
44,73,301,n
44,73,302,y
45,74,303,n
45,74,304,n
45,74,305,n
45,74,306,n
45,74,307,y
46,75,308,n
46,75,309,y
46,75,310,n
46,75,311,n
47,76,312,n
47,76,313,y
47,76,314,n
47,76,315,n
48,77,316,n
48,77,317,y
48,77,318,n
48,77,319,n
48,78,320,n
48,78,321,y
48,78,322,n
48,78,323,n
48,79,324,y
48,79,325,n
48,79,326,n
48,79,327,n
48,80,328,y
48,80,329,n
48,80,330,n
48,80,331,n
48,81,332,n
48,81,333,n
48,81,334,n
48,81,335,y
49,82,336,n
49,82,337,n
49,82,338,y
49,82,339,n
49,83,340,y
49,83,341,n
49,83,342,n
49,83,343,n
49,84,344,n
49,84,345,y
49,84,346,n
49,84,347,n
49,85,348,n
49,85,349,y
49,85,350,n
49,85,351,n
50,86,352,n
50,86,353,y
50,86,354,n
50,86,355,n
51,87,356,n
51,87,357,n
51,87,358,n
51,87,359,y
77,88,360,n
