engagement_id,student_id,engagement_quizzes,engagement_exams,engagement_lessons,date_engaged
1,274999,1,1,1,2022-05-27
3,274501,0,0,1,2022-05-27
4,272842,1,1,1,2022-05-27
8,275173,0,0,1,2022-05-27
11,274876,0,1,0,2022-05-27
20,275020,1,1,1,2022-05-27
24,271991,0,1,1,2022-05-27
61,274531,1,0,1,2022-05-27
72,262412,0,1,1,2022-05-27
76,275005,0,0,1,2022-05-27
93,266512,0,0,1,2022-05-27
109,269959,1,1,1,2022-05-27
266,261756,0,1,1,2022-05-27
294,263494,0,0,1,2022-05-27
319,259098,1,0,1,2022-05-27
334,274631,1,0,1,2022-05-27
432,271098,1,0,1,2022-05-27
433,268863,0,0,1,2022-05-27
434,274814,0,1,1,2022-05-27
452,260192,0,0,1,2022-05-27
468,268978,0,0,1,2022-05-27
501,272907,0,0,1,2022-05-27
513,275178,0,0,1,2022-05-27
562,274919,0,1,1,2022-05-27
581,271348,0,0,1,2022-05-27
668,274908,0,1,1,2022-05-27
693,265101,0,0,1,2022-05-27
699,275180,1,1,1,2022-05-27
790,268011,1,1,1,2022-05-27
858,274990,0,0,1,2022-05-27
859,259884,0,0,1,2022-05-27
893,275184,0,0,1,2022-05-27
932,272991,1,0,1,2022-05-27
947,273423,0,1,1,2022-05-27
968,269518,0,1,1,2022-05-27
110905,258800,1,0,1,2022-01-03
110906,258800,1,0,1,2022-01-04
110907,258800,1,1,1,2022-01-05
110908,258800,1,1,1,2022-01-06
110909,258800,1,0,1,2022-01-10
110910,258800,1,0,1,2022-01-15
110911,258800,1,1,1,2022-01-23
110912,258800,1,0,1,2022-02-25
110913,258800,1,0,1,2022-02-26
110914,258800,1,0,1,2022-02-27
110915,258803,1,1,1,2022-01-01
110916,258803,1,1,1,2022-01-02
110917,258803,1,0,1,2022-01-03
110918,258803,1,0,1,2022-01-05
110919,258803,1,0,1,2022-01-11
110920,258803,1,0,1,2022-02-01
110921,258804,1,0,1,2022-01-01
110922,258809,1,0,1,2022-01-02
110923,258809,1,0,1,2022-01-04
110924,258811,1,0,1,2022-01-01
110925,258811,1,0,1,2022-01-04
110926,258811,1,0,1,2022-01-08
110927,258811,1,0,1,2022-01-13
110928,258818,1,0,1,2022-05-10
110929,258818,1,0,1,2022-03-13
110930,258818,1,0,1,2022-03-16
110931,258818,1,0,1,2022-03-17
110932,258818,1,0,1,2022-03-18
110933,258818,1,0,1,2022-03-20
110934,258818,1,0,1,2022-01-03
110935,258818,1,0,1,2022-01-05
110936,258818,1,0,1,2022-01-10
110937,258818,1,0,1,2022-01-11
110938,258818,1,0,1,2022-01-19
110939,258818,1,0,1,2022-01-20
110940,258818,1,0,1,2022-01-21
110941,258818,1,0,1,2022-02-10
110942,258818,1,0,1,2022-02-11
110943,258818,1,0,1,2022-04-28
110944,258818,1,0,1,2022-04-29
110945,258818,1,1,1,2022-04-30
110946,258818,1,1,1,2022-01-04
110947,258818,1,0,1,2022-03-23
110948,258818,1,0,1,2022-01-23
110949,258818,1,0,1,2022-03-31
110950,258818,1,0,1,2022-04-06
110951,258819,1,0,1,2022-01-01
110952,258822,1,1,1,2022-01-09
110953,258822,1,1,1,2022-01-10
110954,258822,1,0,1,2022-01-13
110955,258822,1,0,1,2022-01-14
110956,258822,1,0,1,2022-01-16
110957,258822,1,1,1,2022-01-18
110958,258822,1,1,1,2022-01-20
110959,258822,1,1,1,2022-01-26
110960,258832,1,0,1,2022-01-05
110961,258832,1,0,1,2022-01-06
110962,258832,1,0,1,2022-01-09
110963,258834,1,0,1,2022-01-01
110964,258837,1,0,1,2022-01-02
110965,258837,1,0,1,2022-01-08
110966,258837,1,0,1,2022-01-29
110967,258840,1,0,1,2022-01-04
110968,258845,1,0,1,2022-01-26
110969,258845,1,0,1,2022-02-04
110970,258845,1,0,1,2022-02-15
110971,258845,1,1,1,2022-01-08
110972,258845,1,1,1,2022-01-09
110973,258845,1,0,1,2022-01-13
110974,258845,1,0,1,2022-01-14
110975,258845,1,0,1,2022-01-17
110976,258845,1,0,1,2022-01-18
110977,258845,1,0,1,2022-01-10
110978,258845,1,0,1,2022-01-21
110979,258849,1,0,1,2022-01-01
110980,258851,1,0,1,2022-01-01
110981,258857,1,0,1,2022-01-01
110982,258860,1,0,1,2022-01-01
110983,258861,1,0,1,2022-01-01
110984,258862,1,1,1,2022-01-01
110985,258862,1,1,1,2022-01-02
110986,258862,1,0,1,2022-01-03
110987,258862,1,0,1,2022-01-07
110988,258862,1,0,1,2022-01-13
110989,258862,1,1,1,2022-01-15
110990,258862,1,0,1,2022-01-18
110991,258862,1,0,1,2022-01-19
110993,258865,1,0,1,2022-01-01
110994,258865,1,1,1,2022-01-05
110995,258865,1,0,1,2022-01-06
110996,258865,1,1,1,2022-01-11
110997,258865,1,1,1,2022-01-20
110998,258865,1,0,1,2022-02-07
110999,258872,1,1,1,2022-01-03
111000,258876,1,0,1,2022-01-01
111001,258876,1,0,1,2022-01-02
111002,258876,1,0,1,2022-01-03
111003,258876,1,0,1,2022-01-12
111004,258878,1,1,1,2022-01-02
111005,258878,1,0,1,2022-01-08
111006,258880,1,0,1,2022-01-04
111007,258880,1,0,1,2022-01-07
111008,258880,1,0,1,2022-01-08
111009,258881,1,0,1,2022-01-01
111010,258883,1,0,1,2022-01-04
111011,258883,1,1,1,2022-01-05
111012,258885,1,0,1,2022-01-01
111013,258885,1,1,1,2022-01-04
111014,258893,1,0,1,2022-01-02
111015,258894,1,0,1,2022-01-01
111016,258895,1,0,1,2022-01-01
111017,258902,1,0,1,2022-01-02
111018,258903,1,0,1,2022-01-01
111019,258904,1,0,1,2022-01-09
111020,258904,1,0,1,2022-01-10
111021,258904,1,0,1,2022-01-02
111022,258906,1,0,1,2022-01-07
111023,258906,1,0,1,2022-01-08
111024,258906,1,1,1,2022-01-15
111025,258906,1,0,1,2022-01-16
111026,258907,1,0,1,2022-04-25
111027,258908,1,0,1,2022-01-01
111028,258908,1,0,1,2022-01-02
111029,258908,1,1,1,2022-01-03
111030,258910,1,0,1,2022-01-02
111031,258912,1,0,1,2022-01-09
111032,258913,1,0,1,2022-01-02
111033,258913,1,1,1,2022-01-03
111034,258913,1,0,1,2022-02-11
111035,258913,1,0,1,2022-02-26
111036,258913,1,0,1,2022-02-28
111037,258913,1,0,1,2022-05-17
111038,258913,1,0,1,2022-05-19
111039,258913,1,1,1,2022-01-27
