exam_attempt_id,student_id,exam_id,exam_result,exam_completion_time,date_exam_completed
173311,258803,475,83,5.17,2022-01-01
173332,258815,380,0,10.02,2022-01-01
173333,258815,380,67,7.93,2022-01-01
173335,258815,380,100,0.60,2022-01-01
173336,258815,380,0,10.02,2022-01-01
173353,258822,415,0,10.00,2022-01-01
173416,258862,368,50,3.93,2022-01-01
173417,258862,368,50,1.25,2022-01-01
173418,258862,368,50,1.08,2022-01-01
173419,258862,368,100,0.70,2022-01-01
173505,258803,478,100,9.95,2022-01-02
173580,258878,368,67,2.65,2022-01-02
173592,258862,369,83,3.97,2022-01-02
173598,258862,370,67,3.48,2022-01-02
173601,258878,369,67,3.20,2022-01-02
173605,258878,371,58,8.13,2022-01-02
173622,258971,368,50,6.65,2022-01-02
173628,258971,368,100,0.42,2022-01-02
173680,259039,420,83,6.10,2022-01-03
173682,259043,368,67,9.52,2022-01-03
173683,258913,368,67,2.87,2022-01-03
173684,258913,368,100,0.62,2022-01-03
173686,259043,368,100,0.45,2022-01-03
173687,259039,421,50,8.33,2022-01-03
173688,259039,421,100,0.98,2022-01-03
173718,259067,368,83,3.73,2022-01-03
173743,258913,369,33,3.68,2022-01-03
173745,258913,369,83,0.92,2022-01-03
173751,258913,370,83,2.52,2022-01-03
173752,258913,370,100,0.62,2022-01-03
173770,258984,368,17,4.70,2022-01-03
173773,258984,368,83,1.03,2022-01-03
173774,258984,368,100,0.30,2022-01-03
173802,258872,368,17,3.30,2022-01-03
173803,258872,368,33,1.27,2022-01-03
173804,258872,368,33,0.70,2022-01-03
173805,258872,368,50,0.70,2022-01-03
173816,258955,368,50,5.35,2022-01-03
173819,258955,368,100,1.23,2022-01-03
173842,258908,385,17,16.00,2022-01-03
173853,259026,368,67,3.67,2022-01-03
173859,259106,368,50,2.65,2022-01-03
173861,259106,368,83,0.73,2022-01-03
173863,259106,368,100,0.42,2022-01-03
173908,258872,368,67,0.73,2022-01-03
173909,258872,368,83,0.33,2022-01-03
173910,258872,368,100,0.32,2022-01-03
173913,259155,97,50,3.12,2022-01-03
173936,259012,380,50,6.40,2022-01-03
173937,259012,380,50,4.77,2022-01-03
173939,259012,380,83,0.85,2022-01-03
173940,258913,380,83,5.98,2022-01-04
173941,259012,380,100,0.58,2022-01-04
173942,258913,380,100,1.20,2022-01-04
173958,258922,368,50,8.47,2022-01-04
173960,258922,368,100,0.55,2022-01-04
173994,259171,368,67,2.03,2022-01-04
173995,259171,368,100,0.42,2022-01-04
174004,258913,381,100,11.63,2022-01-04
174039,259214,368,0,10.00,2022-01-04
174056,258818,380,0,10.00,2022-01-04
174058,259118,368,67,6.33,2022-01-04
174060,258818,380,17,10.00,2022-01-04
174061,259118,368,83,1.80,2022-01-04
174063,259118,368,67,1.58,2022-01-04
174064,259118,368,67,0.97,2022-01-04
174065,259118,368,67,1.02,2022-01-04
174066,259118,368,100,1.25,2022-01-04
174089,258885,368,33,6.13,2022-01-04
174091,258885,368,100,1.77,2022-01-04
174097,258955,369,67,5.82,2022-01-04
174098,258818,380,100,4.77,2022-01-04
174099,258955,369,100,0.77,2022-01-04
174113,259209,368,100,0.87,2022-01-04
174115,259233,368,50,2.30,2022-01-04
174117,259233,368,100,0.50,2022-01-04
174118,259209,369,67,5.65,2022-01-04
174122,259209,371,75,13.48,2022-01-04
174164,259257,408,33,2.75,2022-01-04
174165,259257,408,100,1.08,2022-01-04
174166,259257,416,50,1.10,2022-01-04
174168,259257,416,100,0.85,2022-01-04
174172,259257,415,33,0.65,2022-01-04
174174,259257,415,100,0.87,2022-01-04
174191,259266,380,83,7.17,2022-01-04
174193,259266,380,100,1.00,2022-01-04
174195,259266,381,67,10.10,2022-01-04
174197,259266,381,100,0.55,2022-01-04
174201,259233,372,67,14.63,2022-01-04
174209,259011,368,50,5.70,2022-01-04
174211,259011,368,100,0.83,2022-01-04
174213,259276,380,33,10.00,2022-01-04
174218,259276,380,83,5.18,2022-01-04
174221,259276,381,50,14.33,2022-01-04
174225,259276,381,100,0.52,2022-01-04
174261,258913,382,50,6.97,2022-01-05
174262,258913,382,100,0.45,2022-01-05
174277,259297,368,67,4.10,2022-01-05
174282,259297,368,100,0.55,2022-01-05
174287,258865,368,100,4.27,2022-01-05
174295,259305,478,67,5.38,2022-01-05
174305,259305,478,67,0.97,2022-01-05
174306,259305,478,100,0.40,2022-01-05
174307,259239,368,50,4.30,2022-01-05
174335,259268,368,50,2.05,2022-01-05
174336,259268,368,100,0.53,2022-01-05
174346,259209,380,100,7.10,2022-01-05
174361,259328,368,33,2.57,2022-01-05
174363,259328,368,33,0.78,2022-01-05
174395,259318,375,100,17.28,2022-01-05
174399,259268,369,50,2.75,2022-01-05
174400,259268,369,100,0.58,2022-01-05
174403,259268,370,50,1.82,2022-01-05
174404,259268,370,100,0.40,2022-01-05
174410,258955,370,67,6.73,2022-01-05
174413,258955,370,100,0.50,2022-01-05
174415,259258,369,100,2.70,2022-01-05
