student_id,student_country,date_registered
258798,IN,2022-01-01
258799,CO,2022-01-01
258800,CA,2022-01-01
258801,IN,2022-01-01
258802,US,2022-01-01
258803,US,2022-01-01
258804,BD,2022-01-01
258805,BD,2022-01-01
258806,NG,2022-01-01
258807,US,2022-01-01
258808,SA,2022-01-01
258809,ID,2022-01-01
258810,IN,2022-01-01
258811,DZ,2022-01-01
258812,IN,2022-01-01
258813,ET,2022-01-01
258814,IN,2022-01-01
258815,EG,2022-01-01
258816,KE,2022-01-01
258817,IN,2022-01-01
258818,IN,2022-01-01
258819,ES,2022-01-01
258820,IN,2022-01-01
258822,IN,2022-01-01
258823,BD,2022-01-01
258824,US,2022-01-01
258825,IN,2022-01-01
258826,CN,2022-01-01
258827,IN,2022-01-01
258828,IN,2022-01-01
258829,BR,2022-01-01
258830,BY,2022-01-01
258831,SG,2022-01-01
258832,IN,2022-01-01
258833,IN,2022-01-01
258834,GB,2022-01-01
258835,CM,2022-01-01
258836,PK,2022-01-01
258837,ID,2022-01-01
258838,PK,2022-01-01
258839,EG,2022-01-01
258840,SA,2022-01-01
258841,JP,2022-01-01
258842,PK,2022-01-01
258843,US,2022-01-01
258844,EG,2022-01-01
258845,ID,2022-01-01
258846,US,2022-01-01
258847,IN,2022-01-01
258848,RU,2022-01-01
258849,IN,2022-01-01
258850,CA,2022-01-01
258851,HT,2022-01-01
258852,SA,2022-01-01
258853,US,2022-01-01
258854,NG,2022-01-01
258855,GB,2022-01-01
258857,AZ,2022-01-01
258858,MA,2022-01-01
258859,SA,2022-01-01
258860,PL,2022-01-01
258861,IN,2022-01-01
258862,NL,2022-01-01
258864,DE,2022-01-01
258865,CA,2022-01-01
258866,IN,2022-01-01
258867,TN,2022-01-01
258868,DZ,2022-01-01
258869,VN,2022-01-01
258870,GB,2022-01-01
258871,CA,2022-01-01
258872,CO,2022-01-01
258873,EG,2022-01-01
258874,PT,2022-01-01
258875,SA,2022-01-01
258876,FR,2022-01-01
258877,EG,2022-01-01
258878,CA,2022-01-01
258879,LY,2022-01-01
258880,RU,2022-01-01
258881,EG,2022-01-01
258882,US,2022-01-01
258883,US,2022-01-01
258884,EG,2022-01-01
258885,MD,2022-01-01
258886,SA,2022-01-01
258887,SA,2022-01-01
258888,GB,2022-01-01
258889,SA,2022-01-01
258890,RU,2022-01-01
258891,EG,2022-01-01
258892,MX,2022-01-01
258893,AE,2022-01-01
258894,US,2022-01-01
258895,EG,2022-01-01
258896,BR,2022-01-01
258897,AR,2022-01-01
258898,IN,2022-01-01
258899,SA,2022-01-01
258900,IN,2022-01-01
258901,SA,2022-01-01
258902,NG,2022-01-01
258903,US,2022-01-01
258904,SA,2022-01-01
258905,NG,2022-01-01
258906,EG,2022-01-01
258907,EG,2022-01-01
258908,US,2022-01-01
258909,US,2022-01-01
258910,EG,2022-01-02
258911,SA,2022-01-02
258912,IN,2022-01-02
258913,US,2022-01-02
258914,LK,2022-01-02
258915,SA,2022-01-02
258916,CA,2022-01-02
258917,US,2022-01-02
258919,DE,2022-01-02
258920,PH,2022-01-02
258921,SA,2022-01-02
258922,US,2022-01-02
258924,EG,2022-01-02
258925,ID,2022-01-02
258926,SA,2022-01-02
258927,IN,2022-01-02
258928,SA,2022-01-02
258929,US,2022-01-02
258930,SA,2022-01-02
258931,SA,2022-01-02
258932,SA,2022-01-02
258933,US,2022-01-02
258934,US,2022-01-02
258935,US,2022-01-02
258936,IN,2022-01-02
258937,SD,2022-01-02
258938,IN,2022-01-02
258939,US,2022-01-02
258940,DE,2022-01-02
258941,SA,2022-01-02
258942,NG,2022-01-02
258943,IN,2022-01-02
258944,VN,2022-01-02
258945,IN,2022-01-02
258946,US,2022-01-02
258947,IN,2022-01-02
258948,IN,2022-01-02
258949,IN,2022-01-02
258950,IN,2022-01-02
258951,EG,2022-01-02
258952,PL,2022-01-02
258953,ID,2022-01-02
258954,IQ,2022-01-02
258955,AE,2022-01-02
258956,IN,2022-01-02
258957,ZA,2022-01-02
258958,TJ,2022-01-02
258959,IN,2022-01-02
258960,CN,2022-01-02
258961,IN,2022-01-02
258962,EG,2022-01-02
258963,SA,2022-01-02
258964,TR,2022-01-02
258965,IN,2022-01-02
258966,GB,2022-01-02
258967,NL,2022-01-02
258968,AE,2022-01-02
258969,US,2022-01-02
258970,GM,2022-01-02
258971,IL,2022-01-02
258973,US,2022-01-02
258974,SA,2022-01-02
258975,US,2022-01-02
258976,IN,2022-01-02
258977,IN,2022-01-02
258978,IN,2022-01-02
258979,SA,2022-01-02
258980,MX,2022-01-02
258981,TR,2022-01-02
258982,TH,2022-01-02
