student_id,course_id,minutes_watched,date_watched
258798,23,0.3,2022-01-01
258800,2,12.9,2022-04-01
258800,7,46.8,2022-01-03
258800,7,4.3,2022-01-04
258800,7,31.7,2022-01-07
258800,7,61.6,2022-01-05
258800,7,45.1,2022-01-06
258800,11,0.5,2022-02-21
258800,11,1.1,2022-02-22
258800,14,4.0,2022-01-28
258800,14,2.1,2022-03-14
258800,21,34.7,2022-01-10
258800,21,6.9,2022-02-23
258800,21,7.1,2022-01-11
258800,21,7.6,2022-05-12
258800,21,13.1,2022-01-13
258800,21,21.3,2022-01-15
258800,21,9.4,2022-01-16
258800,21,5.2,2022-01-22
258800,21,30.6,2022-01-23
258800,25,0.7,2022-05-26
258800,25,44.0,2022-05-27
258800,25,1.5,2022-05-30
258800,28,46.1,2022-03-28
258800,28,0.3,2022-06-28
258800,30,0.1,2022-03-25
258800,37,34.2,2022-02-25
258800,37,32.6,2022-02-26
258800,37,23.0,2022-02-27
258800,7,2.7,2022-01-02
258803,14,62.6,2022-01-01
258803,14,43.6,2022-01-03
258803,14,86.8,2022-01-02
258803,14,42.9,2022-01-04
258803,14,21.4,2022-01-05
258803,14,52.8,2022-01-08
258803,14,28.3,2022-01-09
258803,14,19.3,2022-01-10
258803,14,37.9,2022-01-11
258803,14,0.7,2022-01-16
258803,14,67.1,2022-02-01
258803,14,1.6,2022-04-17
258803,14,6.8,2022-02-21
258803,16,6.9,2022-06-27
258803,19,52.0,2022-07-26
258803,19,44.7,2022-07-30
258803,19,3.5,2022-07-28
258803,19,0.1,2022-07-29
258803,19,41.0,2022-07-31
258804,14,14.2,2022-01-01
258807,7,1.8,2022-01-01
258809,14,4.1,2022-01-01
258809,14,9.2,2022-01-02
258809,14,40.0,2022-01-04
258810,14,3.2,2022-01-01
258811,20,16.8,2022-01-04
258811,37,1.7,2022-01-01
258811,37,19.9,2022-01-08
258811,37,3.5,2022-01-13
258812,42,2.2,2022-01-01
258813,7,2.1,2022-01-01
258814,25,4.9,2022-01-01
258814,45,3.9,2022-01-26
258815,23,29.0,2022-01-01
258816,23,0.8,2022-01-01
258817,39,0.4,2022-01-01
258818,2,6.7,2022-02-18
258818,2,0.2,2022-06-01
258818,2,18.0,2022-02-23
258818,2,51.9,2022-06-03
258818,2,0.4,2022-06-04
258818,2,7.1,2022-03-03
258818,2,12.3,2022-03-04
258818,2,5.8,2022-03-07
258818,2,24.0,2022-03-08
258818,2,30.5,2022-03-09
258818,2,18.5,2022-03-11
258818,2,19.4,2022-03-12
258818,3,27.6,2022-05-10
258818,3,69.1,2022-05-11
258818,3,8.7,2022-05-12
258818,4,34.7,2022-03-13
258818,4,18.6,2022-03-15
258818,4,27.2,2022-03-16
258818,4,27.3,2022-03-18
258818,4,10.2,2022-03-17
258818,4,15.8,2022-03-20
258818,4,18.1,2022-03-21
258818,4,17.0,2022-03-22
258818,4,13.4,2022-03-24
258818,4,32.9,2022-03-29
258818,4,29.4,2022-03-30
258818,13,13.9,2022-07-26
258818,13,3.0,2022-07-27
258818,14,10.5,2022-04-07
258818,14,34.6,2022-01-05
258818,14,30.5,2022-01-19
258818,14,43.6,2022-01-04
258818,14,27.1,2022-01-10
258818,14,45.0,2022-01-11
258818,14,14.4,2022-01-12
258818,14,19.0,2022-01-13
258818,14,9.2,2022-01-14
258818,14,28.2,2022-01-17
258818,14,18.8,2022-01-18
258818,14,18.6,2022-01-20
258818,14,39.8,2022-01-21
258818,14,19.5,2022-01-23
258818,14,5.9,2022-01-24
258818,14,24.0,2022-01-25
258818,14,27.8,2022-01-26
258818,14,18.6,2022-01-27
258818,14,11.7,2022-01-28
258818,14,6.9,2022-01-29
258818,14,3.8,2022-01-31
258818,14,7.6,2022-02-01
258818,14,4.9,2022-02-09
258818,14,20.2,2022-02-10
258818,14,15.9,2022-02-11
258818,14,22.0,2022-02-12
258818,14,4.9,2022-02-13
258818,14,7.8,2022-02-16
258818,14,2.0,2022-02-17
258818,16,40.0,2022-01-07
258818,19,15.6,2022-04-28
258818,19,12.0,2022-04-29
258818,19,10.2,2022-04-30
258818,21,4.1,2022-06-19
258818,22,28.7,2022-03-23
258818,23,15.5,2022-01-06
258818,28,15.1,2022-02-14
258818,28,32.7,2022-08-17
258818,28,15.7,2022-02-15
258818,28,12.8,2022-09-14
258818,28,3.0,2022-09-15
258818,28,11.1,2022-09-16
258818,28,17.8,2022-09-19
258818,28,2.7,2022-08-19
258818,35,20.9,2022-03-31
258818,35,4.8,2022-06-12
258818,35,6.7,2022-04-01
258818,35,5.8,2022-04-06
258818,39,12.8,2022-01-03
258819,22,6.6,2022-01-01
258822,5,49.9,2022-01-09
258822,7,36.0,2022-01-12
258822,7,68.3,2022-01-10
258822,16,4.9,2022-01-29
258822,16,2.9,2022-01-31
258822,21,31.5,2022-01-13
258822,21,60.5,2022-01-18
258822,21,22.1,2022-01-14
258822,21,3.0,2022-01-15
258822,21,5.9,2022-01-16
258822,21,1.0,2022-01-19
258822,21,47.9,2022-01-20
258822,21,16.9,2022-01-24
258822,21,31.8,2022-01-26
258822,7,0.1,2022-01-01
258824,7,1.3,2022-01-01
258826,27,0.3,2022-01-01
258827,34,0.3,2022-01-01
258828,7,0.4,2022-01-01
258829,16,12.5,2022-01-02
258830,7,0.9,2022-01-01
258831,23,0.1,2022-01-01
258832,13,46.3,2022-03-21
258832,21,0.9,2022-01-01
258832,21,13.2,2022-01-05
258832,21,14.4,2022-01-06
258832,21,42.3,2022-01-09
258832,23,70.4,2022-03-06
258832,23,36.2,2022-03-18
258832,23,71.0,2022-03-11
258832,23,3.6,2022-03-13
258832,39,0.1,2022-03-01
258832,39,0.3,2022-02-28
