purchase_id,student_id,purchase_type,date_purchased
15781,258800,Annual,2022-01-01
15786,258803,Annual,2022-01-01
15808,258862,Annual,2022-01-01
15809,258865,Annual,2022-01-01
15811,258878,Annual,2022-01-01
15813,258908,Monthly,2022-01-01
15816,258916,Annual,2022-01-02
15827,258984,Annual,2022-01-02
15829,259039,Monthly,2022-01-02
15844,259106,Annual,2022-01-03
15845,258818,Annual,2022-01-03
15846,258955,Annual,2022-01-03
15853,259209,Annual,2022-01-04
15862,258922,Annual,2022-01-04
15863,259028,Monthly,2022-01-04
15865,259258,Monthly,2022-01-04
15867,259026,Monthly,2022-01-04
15869,259273,Monthly,2022-01-04
15872,259305,Monthly,2022-01-05
15885,259268,Monthly,2022-01-05
15889,259408,Monthly,2022-01-05
15890,259429,Annual,2022-01-06
15891,259447,Annual,2022-01-06
15903,259534,Monthly,2022-01-06
15905,259174,Annual,2022-01-07
15916,259614,Annual,2022-01-07
15917,259510,Monthly,2022-01-07
15918,259635,Annual,2022-01-07
15921,259684,Annual,2022-01-08
15931,259702,Monthly,2022-01-08
15932,259260,Annual,2022-01-08
15933,258980,Annual,2022-01-08
15934,259727,Annual,2022-01-08
15936,259657,Annual,2022-01-08
15941,258822,Monthly,2022-01-09
15952,259504,Monthly,2022-01-09
15954,259476,Monthly,2022-01-09
15955,259777,Monthly,2022-01-09
15956,258971,Monthly,2022-01-09
15957,259862,Annual,2022-01-09
15958,259283,Monthly,2022-01-09
15960,259865,Monthly,2022-01-10
15961,259664,Annual,2022-01-10
15965,259549,Annual,2022-01-10
15966,259731,Monthly,2022-01-10
15971,259473,Annual,2022-01-10
15972,259938,Monthly,2022-01-10
15973,259860,Monthly,2022-01-10
15975,259952,Annual,2022-01-10
15976,259953,Annual,2022-01-10
15978,259959,Annual,2022-01-10
15979,259965,Monthly,2022-01-10
15987,260029,Annual,2022-01-11
15990,259834,Annual,2022-01-11
15992,259262,Annual,2022-01-11
15995,259689,Monthly,2022-01-11
15996,259437,Annual,2022-01-11
15999,259969,Annual,2022-01-12
16000,259506,Annual,2022-01-12
16001,259973,Monthly,2022-01-11
16003,260111,Annual,2022-01-12
16007,260126,Annual,2022-01-12
16011,260132,Annual,2022-01-12
16020,260168,Annual,2022-01-12
16021,260180,Monthly,2022-01-12
16022,260181,Annual,2022-01-12
16023,260164,Quarterly,2022-01-12
16027,260173,Quarterly,2022-01-13
16028,260217,Annual,2022-01-13
16048,259996,Monthly,2022-01-13
16050,260192,Annual,2022-01-13
16051,259464,Monthly,2022-01-13
16052,260291,Annual,2022-01-13
16053,260324,Monthly,2022-01-13
16055,260335,Annual,2022-01-14
16057,260354,Monthly,2022-01-14
16082,260423,Annual,2022-01-14
16084,260211,Monthly,2022-01-14
16085,260465,Monthly,2022-01-14
16086,260483,Annual,2022-01-15
16087,260494,Monthly,2022-01-15
16106,260356,Monthly,2022-01-15
16107,260549,Annual,2022-01-15
16109,260321,Annual,2022-01-15
16111,260578,Annual,2022-01-15
16112,260486,Annual,2022-01-16
16117,260616,Annual,2022-01-16
16129,260646,Monthly,2022-01-16
16131,260649,Annual,2022-01-16
16135,260707,Annual,2022-01-17
16136,260593,Annual,2022-01-17
16140,260742,Monthly,2022-01-17
16158,260809,Annual,2022-01-17
16159,260815,Annual,2022-01-17
16166,260829,Annual,2022-01-18
16167,260329,Annual,2022-01-18
16168,260842,Annual,2022-01-18
16169,260033,Annual,2022-01-18
16176,260855,Annual,2022-01-18
16186,260664,Annual,2022-01-18
16188,260865,Annual,2022-01-18
16191,260885,Monthly,2022-01-18
16192,260834,Annual,2022-01-18
16194,260891,Annual,2022-01-18
16198,260909,Monthly,2022-01-18
16199,260910,Annual,2022-01-19
16200,260920,Annual,2022-01-19
16201,260913,Monthly,2022-01-19
16203,260572,Annual,2022-01-19
16217,260952,Annual,2022-01-19
16218,260898,Monthly,2022-01-19
16219,260954,Annual,2022-01-19
16225,260968,Annual,2022-01-19
16226,260971,Annual,2022-01-19
16228,260977,Annual,2022-01-19
16230,260176,Annual,2022-01-19
16231,260991,Annual,2022-01-19
16232,260988,Annual,2022-01-19
16237,260998,Annual,2022-01-20
16261,261022,Annual,2022-01-20
16264,260608,Annual,2022-01-20
16265,261039,Annual,2022-01-20
16266,260684,Annual,2022-01-20
16269,261061,Annual,2022-01-20
16271,261072,Annual,2022-01-20
16272,261073,Monthly,2022-01-20
16275,261084,Annual,2022-01-20
16277,261086,Annual,2022-01-20
16285,261110,Annual,2022-01-21
16287,260216,Annual,2022-01-21
16289,261132,Monthly,2022-01-21
16316,260754,Annual,2022-01-21
16318,259483,Annual,2022-01-21
16319,261158,Annual,2022-01-21
16320,261173,Annual,2022-01-21
16321,260813,Annual,2022-01-21
16322,261177,Annual,2022-01-21
16324,261183,Annual,2022-01-21
16333,261217,Annual,2022-01-22
16334,261212,Monthly,2022-01-22
16335,261121,Annual,2022-01-22
16336,261227,Annual,2022-01-22
16337,261228,Monthly,2022-01-22
16353,261241,Annual,2022-01-22
16355,260831,Annual,2022-01-22
16356,261263,Annual,2022-01-22
16357,261019,Annual,2022-01-22
16358,261268,Monthly,2022-01-22
16359,261210,Annual,2022-01-22
16360,261003,Annual,2022-01-22
16361,261085,Annual,2022-01-22
16362,261276,Annual,2022-01-22
16365,261288,Annual,2022-01-23
16367,261293,Annual,2022-01-23
16368,261295,Annual,2022-01-23
16387,261359,Annual,2022-01-23
16388,261349,Annual,2022-01-23
16389,261059,Annual,2022-01-23
16390,261367,Annual,2022-01-23
16391,261374,Annual,2022-01-23
16393,261389,Annual,2022-01-24
16394,261390,Annual,2022-01-24
16396,261412,Annual,2022-01-24
16404,261417,Annual,2022-01-24
16408,259283,Annual,2022-01-24
16409,259494,Annual,2022-01-24
16411,261446,Annual,2022-01-24
16414,261452,Annual,2022-01-24
16415,261483,Annual,2022-01-24
16419,261490,Annual,2022-01-24
16421,261495,Annual,2022-01-24
16422,259523,Annual,2022-01-25
16423,260702,Annual,2022-01-25
16425,261291,Annual,2022-01-25
16426,260850,Monthly,2022-01-25
16427,261171,Annual,2022-01-25
16428,261408,Annual,2022-01-25
16430,261538,Annual,2022-01-25
16441,261552,Annual,2022-01-25
16442,260916,Annual,2022-01-25
16443,261558,Annual,2022-01-25
16445,261565,Annual,2022-01-25
16446,261567,Annual,2022-01-25
16448,261515,Annual,2022-01-25
16450,260345,Annual,2022-01-25
16452,261577,Annual,2022-01-25
16456,260915,Annual,2022-01-25
16458,261593,Annual,2022-01-25
16459,259171,Quarterly,2022-01-25
16462,260787,Annual,2022-01-26
16464,261585,Monthly,2022-01-26
16466,261603,Annual,2022-01-26
16467,261607,Annual,2022-01-26
16468,261610,Annual,2022-01-26
16469,261621,Annual,2022-01-26
16480,260024,Annual,2022-01-26
16481,261550,Annual,2022-01-26
16483,261633,Annual,2022-01-26
16489,261510,Annual,2022-01-26
16491,261491,Monthly,2022-01-26
16492,259300,Annual,2022-01-26
16493,261658,Annual,2022-01-26
16495,261661,Annual,2022-01-26
16497,261662,Annual,2022-01-26
16498,261455,Monthly,2022-01-26
16499,259524,Annual,2022-01-26
16500,261674,Annual,2022-01-26
16501,261679,Annual,2022-01-26
16502,261239,Annual,2022-01-26
16504,261685,Annual,2022-01-26
16506,261690,Annual,2022-01-26
16511,261714,Annual,2022-01-27
16519,261721,Annual,2022-01-27
16521,261724,Monthly,2022-01-27
16522,261522,Annual,2022-01-27
16525,261735,Annual,2022-01-27
16527,261323,Annual,2022-01-27
16529,261337,Annual,2022-01-27
16532,261619,Annual,2022-01-27
16533,261654,Annual,2022-01-27
16535,260980,Annual,2022-01-27
16536,261519,Annual,2022-01-27
16538,261758,Annual,2022-01-27
16543,261756,Annual,2022-01-27
16544,258913,Annual,2022-01-27
16545,261766,Annual,2022-01-27
16546,261184,Annual,2022-01-27
16547,259054,Annual,2022-01-27
16548,261768,Annual,2022-01-27
16550,261771,Annual,2022-01-27
16552,261773,Monthly,2022-01-27
16553,261778,Annual,2022-01-27
16554,261779,Annual,2022-01-27
16555,261755,Annual,2022-01-27
16557,261682,Annual,2022-01-27
16559,261590,Annual,2022-01-27
16560,261783,Annual,2022-01-27
16563,261785,Annual,2022-01-27
16565,260698,Annual,2022-01-27
16567,261704,Annual,2022-01-27
16568,261737,Annual,2022-01-27
16573,261789,Annual,2022-01-28
16576,261782,Annual,2022-01-27
16577,261777,Annual,2022-01-27
16578,261791,Annual,2022-01-28
16579,261790,Annual,2022-01-28
16580,259870,Annual,2022-01-28
16582,261589,Annual,2022-01-28
16583,261796,Annual,2022-01-28
16585,261787,Annual,2022-01-28
16587,261801,Annual,2022-01-28
16588,261802,Annual,2022-01-28
16596,261808,Annual,2022-01-28
16597,261810,Annual,2022-01-28
16598,261809,Annual,2022-01-28
16600,261138,Annual,2022-01-28
16601,261813,Annual,2022-01-28
16603,261816,Annual,2022-01-28
16604,261817,Annual,2022-01-28
16605,261819,Annual,2022-01-28
16606,261820,Annual,2022-01-28
16607,261822,Annual,2022-01-28
16619,261825,Annual,2022-01-28
16628,259781,Annual,2022-01-27
16649,261466,Monthly,2022-01-29
16658,261995,Monthly,2022-01-30
16659,262071,Monthly,2022-01-31
16664,262068,Annual,2022-01-31
16665,261979,Quarterly,2022-01-31
16666,262119,Annual,2022-01-31
16670,262190,Monthly,2022-02-01
16672,262224,Annual,2022-02-01
16688,262198,Monthly,2022-02-01
16690,261692,Annual,2022-02-01
16691,262273,Annual,2022-02-01
