student_id,quiz_id,question_id,answer_id
258803,537,796,3139
258803,159,793,3127
258803,159,794,3132
258803,160,181,710
258803,161,184,723
258803,161,776,3056
258803,162,209,823
258803,162,215,847
258803,163,193,758
258803,164,177,695
258803,165,206,810
258803,166,182,715
258803,167,186,731
258804,159,793,3127
258804,159,794,3132
258804,160,181,710
258804,161,184,723
258804,161,776,3056
258811,484,1063,4197
258819,269,1184,4470
258819,269,1185,4473
258819,270,1186,4475
258819,270,1187,4482
258819,270,1188,4484
258834,537,796,3139
258834,538,785,3095
258849,537,796,3139
258851,537,796,3139
258849,538,785,3095
258857,537,796,3139
258857,538,785,3095
258857,540,781,3078
258857,540,782,3080
258857,540,783,3087
258857,539,789,3109
258857,539,797,3142
258862,537,796,3139
258861,246,1113,4391
258861,246,1114,4394
258861,246,1115,4396
258861,246,1116,4401
258865,537,796,3139
258865,538,785,3095
258862,538,785,3095
258862,540,781,3078
258862,540,782,3080
258862,540,783,3087
258862,539,789,3109
258862,539,797,3142
258862,541,788,3107
258865,540,781,3078
258865,540,782,3080
258865,540,783,3087
258865,539,789,3109
258865,539,797,3142
258876,537,796,3139
258862,43,72,294
258862,44,910,3594
258876,538,785,3095
258865,541,788,3107
258881,438,802,3164
258881,436,801,3159
258881,437,662,2575
258881,439,803,3167
258881,440,663,2579
258881,441,668,2600
258881,442,804,3170
258881,443,676,2632
258881,444,805,3177
258865,43,72,294
258865,44,910,3594
258862,45,822,3249
258885,537,796,3139
258885,538,785,3095
258885,540,781,3078
258885,540,782,3080
258885,540,783,3087
258860,537,796,3137
258885,539,789,3109
258885,539,797,3142
258885,541,788,3107
258885,43,72,294
258895,537,796,3137
258894,248,1088,4288
258894,248,1089,4294
258894,249,823,3253
258894,249,824,3254
258895,538,785,3095
258894,250,825,3257
258894,250,826,3264
258894,251,827,3267
258894,252,828,3270
258894,253,829,3275
258894,254,312,1231
258894,255,841,3323
258903,248,1088,4290
258903,248,1089,4294
258908,256,315,1245
258908,257,830,3277
258902,537,796,3139
258902,538,785,3095
258908,258,314,1242
258908,259,322,1274
258908,260,313,1236
258803,168,778,3065
258803,168,779,3069
258910,537,796,3139
258862,46,75,309
258908,261,329,1301
258862,50,86,353
258803,169,187,736
258803,169,203,799
258908,262,331,1307
258908,263,328,1298
258917,537,796,3139
258803,170,183,719
258803,171,202,796
258803,172,176,689
258803,172,179,703
258920,159,793,3127
258920,159,794,3132
258920,160,181,710
258803,173,180,705
258920,161,184,723
258920,161,776,3056
258920,162,209,823
258920,162,215,847
258920,163,193,758
258920,164,177,695
258920,165,206,810
258920,166,182,715
258920,167,186,731
258920,168,778,3065
258920,168,779,3069
258920,169,187,736
258920,169,203,799
258922,537,796,3139
258922,538,785,3095
258809,159,793,3127
258809,159,794,3132
258809,160,181,710
258837,192,234,924
258837,192,235,927
258837,193,236,930
258837,193,238,940
258837,193,239,942
258837,193,240,948
258837,194,230,905
258837,194,232,914
258837,194,237,936
258837,195,250,987
258837,195,791,3120
258837,195,800,3157
258837,196,226,889
258837,196,227,894
258951,537,796,3137
258955,537,796,3139
258920,170,183,719
258955,538,785,3095
258920,171,202,796
258920,172,176,689
258920,172,179,703
258920,173,180,705
258955,540,781,3078
258955,540,782,3080
258955,540,783,3087
258951,538,785,3095
258955,539,789,3109
258955,539,797,3142
258955,541,788,3107
258893,537,796,3139
258908,264,325,1284
258908,264,831,3282
258908,265,1090,4298
258908,265,1091,4303
258893,540,781,3078
258893,540,782,3080
258893,540,783,3087
258893,538,785,3095
258971,537,796,3139
258908,266,1092,4305
258908,266,1093,4311
258908,266,1094,4315
258908,266,1095,4318
258908,267,1096,4323
258908,267,1097,4327
258908,267,1098,4328
258908,267,1099,4332
258971,538,785,3095
258878,537,796,3138
258971,540,781,3078
258971,540,782,3080
258971,540,783,3087
258878,538,785,3095
258878,540,781,3079
258878,540,782,3080
258878,540,783,3086
258974,369,493,1953
258974,369,496,1963
258974,369,497,1965
258974,369,500,1972
258974,369,501,1974
258974,369,920,3633
258878,539,789,3109
258878,539,797,3144
258908,273,375,1480
258908,273,382,1508
258908,273,915,3614
258971,539,789,3109
258971,539,797,3142
258878,541,788,3107
258904,371,510,2001
258904,371,511,2003
258904,371,513,2008
258904,371,514,2009
258878,43,72,294
258904,372,502,1978
258904,372,505,1986
258904,372,507,1991
258904,372,509,1999
258904,372,512,2004
258878,44,910,3594
258971,541,788,3107
258908,274,916,3620
258908,274,917,3623
258908,274,918,3626
258878,45,822,3249
258984,537,796,3139
258984,538,785,3095
258984,540,781,3078
258984,540,782,3080
258984,540,783,3087
258908,275,742,2902
258908,275,758,2987
258908,275,759,2990
258908,276,773,3047
258908,276,774,3051
258908,276,919,3630
258908,277,380,1499
258862,47,76,313
258878,46,75,309
258862,48,743,2916
258862,48,744,2920
258862,48,746,2933
258862,48,747,2939
258862,48,748,2941
258908,278,358,1413
258908,278,367,1448
258908,279,741,2898
258908,279,756,2977
258908,279,775,3055
258862,49,83,340
258862,49,84,345
258862,49,787,3103
258862,49,799,3151
258971,43,72,294
258922,540,781,3078
258922,540,782,3080
258922,540,783,3087
258997,537,796,3139
258908,280,357,1407
258908,280,363,1432
258908,280,364,1437
258878,47,76,313
258862,51,87,359
258878,48,743,2916
258878,48,744,2921
258878,48,746,2933
258878,48,747,2938
258878,48,748,2940
258908,281,360,1420
258908,281,362,1430
258908,281,366,1444
258878,49,83,340
258878,49,84,345
258878,49,787,3103
258878,49,799,3151
258878,50,86,353
258908,282,373,1473
258908,282,374,1475
258908,282,377,1490
258908,282,378,1492
258994,25,27,108
258994,25,28,109
258994,25,29,115
259002,159,793,3127
259002,159,794,3132
259000,537,796,3139
259002,160,181,710
259000,538,785,3095
259011,537,796,3138
258971,44,910,3594
259015,389,589,2286
259015,389,590,2290
259015,389,591,2292
259015,389,592,2296
259020,537,796,3139
259025,269,1184,4470
259025,269,1185,4473
259000,540,781,3078
259000,540,782,3080
259000,540,783,3087
259011,538,785,3095
259011,540,781,3078
259011,540,782,3080
259011,540,783,3087
259026,537,796,3139
259026,538,785,3095
259011,539,789,3109
259011,539,797,3142
259011,541,788,3107
259000,539,789,3109
259000,539,797,3142
259000,541,788,3107
259026,540,781,3078
259026,540,782,3080
259026,540,783,3087
259000,43,72,294
259000,44,910,3594
259026,539,789,3109
259026,539,797,3142
259026,541,788,3107
259024,484,1063,4197
259024,485,1064,4199
259024,485,1065,4201
259024,486,1066,4203
259024,486,1067,4209
259024,487,1068,4211
258908,283,355,1402
258876,540,781,3078
258876,540,782,3080
258876,540,783,3087
258908,284,381,1503
259000,45,822,3249
258862,248,1088,4290
258862,248,1089,4294
258862,249,823,3253
258862,249,824,3254
258908,285,365,1441
258862,250,825,3257
258862,250,826,3264
258913,537,796,3139
258803,174,196,772
258913,538,785,3095
258913,540,781,3078
258913,540,782,3080
258913,540,783,3087
258913,539,789,3109
258913,539,797,3142
258908,286,352,1387
258913,541,788,3107
258908,287,388,1533
258908,287,393,1552
258913,43,72,294
258908,288,376,1486
258908,288,385,1520
258908,288,386,1524
